platform,title,url,thumbnail_file,uploader,timestamp,added_timestamp,transcript_source,description_preview,transcript_preview
instagram,Video by wakeup_withashley,https://www.instagram.com/reel/DTW3WP3EQbK/?igsh=Z3N2b3BwZTcybzA1,raw/DTW3WP3EQbK.jpg,Ashley ✨🕳️🐇,1768108831,1775865659,none,"Watch it to the end I promise it’s worth it 🙏🙃

#science #spirituality #spiritual",
instagram,Video by elioky_,https://www.instagram.com/reel/DT_zzaijEmS/?igsh=NTF4ZGdpOWljdjd2,raw/DT_zzaijEmS.jpg,elio!,1769480208,1775865659,none,tiktok is censoring me now so i’m putting this here! this is a dive into binomial nomenclature and the woat: carl linnaeus #science #biology #woat,
instagram,Video by buelistic,https://www.instagram.com/reel/DTbZ0-xEi2_/?igsh=MXg3dnRlYzZ6bDN3aA==,raw/DTbZ0-xEi2_.jpg,Quantum Vocalist,1768259308,1775865659,none,"You are not living in an objective world.
You are living inside your nervous system- regulated or unregulated

Neuroscience studies ave discovered that over 90% of sensory data is filtered out before ",
instagram,Video by aaronvartiainen0,https://www.instagram.com/reel/DTcp-WrjEwH/?igsh=cDA0bWpjeGYxdnk3,raw/DTcp-WrjEwH.jpg,Aaron Vartiainen,1768300825,1775865659,none,Video essay about Peter Pan and the essence of Neverland,
instagram,Video by antiagingmission,https://www.instagram.com/reel/DTdHH_3k7fx/?igsh=MTk1ZjNxdjZscmtxcg==,raw/DTdHH_3k7fx.jpg,Antiaging I Longevity,1768315985,1775865659,none,"This One Breathing Technique Increases Brain Blood Flow by 500%

Yes — 5x more blood to your brain and heart just by how you breathe.

Here’s how it works:
1. Take 30 deep, rhythmic breaths — in throu",
instagram,Video by film.paranoia,https://www.instagram.com/reel/DTkp7bPkyem/?igsh=MWszNzJ3b21kNDJ1ZQ==,raw/DTkp7bPkyem.jpg,Film Paranoia,1768569103,1775865659,none,"A Page of Madness (1926), directed by Teinosuke Kinugasa, is a landmark of Japanese experimental cinema and one of the most radical silent films ever made. Set almost entirely inside a mental asylum, ",
instagram,Video by very.kat,https://www.instagram.com/reel/DTmgX5_jrQ4/?igsh=MXV4bG1zdDRwb3FwMA==,raw/DTmgX5_jrQ4.jpg,Kate ☀️,1768631323,1775865659,none,"If these insights resonate with you, let’s connect! I explore somatic healing, emotional clarity and spiritual side of everyday life ❤️

#somatic #nervoussystemhealing #listentoyourbody #mindfulness #",
instagram,Video by sven_johnson_,https://www.instagram.com/reel/DTqnCF3EqGW/?igsh=cm01c3gxMHg2NGZq,raw/DTqnCF3EqGW.jpg,Sven Johnson,1768768842,1775865659,none,"the original rise and grind 
.
.
.
#funny #memes #meme #comedy #relatable",
instagram,Video by julienhimself,https://www.instagram.com/reel/DTs8oa4iQYk/?igsh=bnR6amZreTFnc2p6,raw/DTs8oa4iQYk.jpg,Julien Blanc,1768847384,1775865659,none,"You were NEVER broken… Nothing is missing in you! ⚠️⁣
⁣
✅ Follow @julienhimself for more.⁣
⁣
⁣
⁣
⁣
#julienblanc #julienhimself #selfworth #selflove #youareenough",
instagram,Video by 23punk_,https://www.instagram.com/reel/DTtvsCbjrmY/?igsh=MTczOGJxZDdpY3ZyaA==,raw/DTtvsCbjrmY.jpg,23punk,1768874141,1775865659,none,"Pioneers 🙌 Before the Pistols and The Clash, The Damned were the first UK punk band to release a single (“New Rose” in 1976), a full-length album (‘Damned Damned Damned’ in 1977), and tour the US (Apr",
instagram,Video by hollisbowden,https://www.instagram.com/reel/DTxuicrDqvA/?igsh=M2RhY3FicHBmMnpl,raw/DTxuicrDqvA.jpg,Hollis Bowden,1769007600,1775865659,none,Seems like weird speech Hamlet is in high demand so heres the opposite #hamlet #shakespeare #acting #funny,
instagram,Video by 90theoriginal,https://www.instagram.com/reel/DU-7b51EWAs/?igsh=MzN6MWs5eWVwMXRv,raw/DU-7b51EWAs.jpg,90TheOriginal,1771598202,1775865659,none,Happy heavenly birthday Kurt! Here is one of our favorite clips when he is surprised that Madonna is charging $50 per ticket while Nirvana’s show was only $17.,
instagram,Video by aaronvartiainen0,https://www.instagram.com/reel/DU0z3fpDBrs/?igsh=eGwyYWc5d2NndjJw,raw/DU0z3fpDBrs.jpg,Aaron Vartiainen,1771258954,1775865659,none,Lfg,
instagram,Video by samuel.rowe.your.boat,https://www.instagram.com/reel/DU10GrYkjqb/?igsh=MXRjMDNteGFna2V5ZA==,raw/DU10GrYkjqb.jpg,Sam Rowe,1771292322,1775865660,none,"How to do a British accent very seriously 
#funny #skit #sketchcomedy #britishaccent #accent",
instagram,Video by coherancewithbrit,https://www.instagram.com/reel/DU1NhEVlKW-/?igsh=OWx1ZnV3aDU5b3hl,raw/DU1NhEVlKW-.jpg,☾Brit/Tala,1771270200,1775865660,none,"What if the system was never meant to free us — only to control us? 🤍
Awakening begins the moment you stop letting fear run your life.
You were not born to obey. You were born to remember.

#Fear #obe",
instagram,Video by sheturnedsavage,https://www.instagram.com/reel/DU4MCnbDBEI/?igsh=d21uaHkyODIyMnU5,raw/DU4MCnbDBEI.jpg,Sar | Grief & Healing Quotes 🕊️,1771371900,1775865660,none,"No one talks about this part.

When pain has been your shadow for years,
it stops feeling like something you carry —
and starts feeling like who you are.

You’ve built yourself around it.
Learned how ",
instagram,Video by yourstrulypalakk,https://www.instagram.com/reel/DU4oIjVAYa1/?igsh=dWFnaHVzdTJrMXdi,raw/DU4oIjVAYa1.jpg,palak,1771299300,1775865660,none,yay,
instagram,Video by lizstudyingtips,https://www.instagram.com/reel/DU9Q9DiDb4g/?igsh=dWt3Ym91anY5Zngx,raw/DU9Q9DiDb4g.jpg,Liz,1771542309,1775865660,none,"3 sites you should “NEVER” 😉 use 
#college #studytok #study #collegestudent #lecture",
instagram,Video by joshuaspoetry,https://www.instagram.com/reel/DUCOzZ7Ed0v/?igsh=aXp4b2tlc3NncGpn,raw/DUCOzZ7Ed0v.jpg,Joshua De Schutter,1769561503,1775865660,none,What do you think about this?,
instagram,Video by cameonspoetrycollection,https://www.instagram.com/reel/DUFK10tDeqo/?igsh=MXBzYjM5ejl5Z3liMA==,raw/DUFK10tDeqo.jpg,Cameon,1769660040,1775865660,none,wishing I was as sick as I used to be #poetry #poetsofinstagram #poetrycommunity,
instagram,Video by lu_bermejo,https://www.instagram.com/reel/DUG4TMdjwW7/?igsh=MW5tMXRkMGdrc2w5MA==,raw/DUG4TMdjwW7.jpg,Lu Bermejo | Magia y Cardistry,1769717423,1775865660,none,Queres aprender? Escribime!! #cardistry #lubermejo #cardistrycards #magia #argentina,
instagram,Video by profbcox,https://www.instagram.com/reel/DUIrYqvDVga/?igsh=MWs5MXBoa3lzcGMwZw==,raw/DUIrYqvDVga.jpg,ProfBCox,1769777753,1775865660,none,"Renowned physicist and keyboard enthusiast Professor Brian cox gives us the lowdown on Schrödinger’s cat and what it actually means. 

#schrodingerscat #briancox #physics #quantumphysics #Science",
instagram,Video by quantumshiftacademy,https://www.instagram.com/reel/DULC5z_En5a/?igsh=MTZiNHc3d3NvMWhlMw==,raw/DULC5z_En5a.jpg,QUANTUMSHIFTACADEMY,1769857185,1775865660,none,"You’ll never feel truly free until you realize it was never about their opinions. It was always about whether you trusted your own voice over the noise. The moment you start listening to yourself, you",
instagram,Video by monica.sophiaa2,https://www.instagram.com/reel/DUPEjWUDkzR/?igsh=bTZ3OXZlZ3YzcG16,raw/DUPEjWUDkzR.jpg,Monica Sophia,1769992285,1775865660,none,#thoughts,
instagram,Video by crime.short,https://www.instagram.com/reel/DUQJ1n9jRcE/?igsh=MTV4MjMyanJsdXRsdA==,raw/DUQJ1n9jRcE.jpg,CrimeShort,1770028867,1775865660,none,"In 1836, a man named Leopold von Sacher-Masoch was born in the Austrian Empire.
He was not a criminal, nor a fictional character, but a real writer and thinker whose life would later influence psychol",
instagram,Video by aaronvartiainen0,https://www.instagram.com/reel/DUQZkBajHZ1/?igsh=M3pmbDc2YWY3ZTY5,,Aaron Vartiainen,1770036933,1775865660,none,This is not a science channel. This is an experience channel.,
instagram,Video by monica.sophiaa2,https://www.instagram.com/reel/DUYkV5IEm-y/?igsh=c2kyZDRlc24wZXg5,raw/DUYkV5IEm-y.jpg,Monica Sophia,1770310938,1775865660,none,reality,
instagram,Video by sambrownex,https://www.instagram.com/reel/DUYskj1jXPI/?igsh=OGpkN3k5MGQ2eHRl,raw/DUYskj1jXPI.jpg,Sam Browne,1770315352,1775865660,none,"Begging To Be Broken-

Tour Tickets and Posters (Global Shipping) on my website 
Tour Dates:
Cardiff- 1st of February 
Liverpool-8th of February
London- 26th of February 
Dublin- 22nd of February 
Sou",
instagram,Video by thefilmessential,https://www.instagram.com/reel/DUbCXf2EVDQ/?igsh=YmE0NGpnZWJmYmYw,raw/DUbCXf2EVDQ.jpg,The Film Essential,1770393796,1775865660,none,"Robert Pattinson was reportedly offered the lead role but passed. Despite being one of the rare Canadian films to receive a wide release in both Canada and the US, it became a box office failure. Inte",
instagram,Video by ri_science,https://www.instagram.com/reel/DUbU8wRjI3p/?igsh=N3dha2Y2cGloaDhz,raw/DUbU8wRjI3p.jpg,Royal Institution,1770403568,1775865660,none,"Do you thrive under pressure? 🏋️ Felix Flicker shows us how materials such as quartz and certain ceramics generate an electrical charge when mechanically stressed.

Watch the full talk at the l ink on",
instagram,Video by iamchrischung,https://www.instagram.com/reel/DUcDM9VCXfg/?igsh=ZnhqbGhkejBtNXdr,raw/DUcDM9VCXfg.jpg,Chris Chung,1770427802,1775865660,none,Viral reel breakdown pt 3,
instagram,Video by coherancewithbrit,https://www.instagram.com/reel/DUg36GOksNL/?igsh=MWR2Y21uOGU0dHo0ZQ==,raw/DUg36GOksNL.jpg,☾Brit/Tala,1770589956,1775865660,none,"This was a test of consciousness, not justice.
Revelation is not liberation.
Protect your spirit — that is resistance.
They want your mind more than your compliance.
Evil revealed is still evil if not",
instagram,Post by sdcaw_spirituality,https://www.instagram.com/p/DUm5ptNjRye/?img_index=2&igsh=MXVkeWxsZTRlZjk2dA==,,,,1775865660,none,"Nikola Tesla said 3–6–9 was the key to the universe — and manifestation. ⚡️

It’s not magic; it’s mental engineering. 

Write your intention 3x in the morning, 6x in the afternoon, 9x at night — with ",
instagram,Video by emonthebrain,https://www.instagram.com/reel/DUoB027EbT2/?igsh=MWhtZTJpbmdvMDMydg==,raw/DUoB027EbT2.jpg,Emily McDonald,1770829772,1775865660,none,"This is a cheat code. Give yourself permission to feel the way that you want to feel- now. 
I have a 3 step process to do this if you’re not sure how:
 
1. Get clear on the feelings that you really wa",
instagram,Post by realratedred,https://www.instagram.com/p/DUq9Y4wEdUw/?igsh=MWd1b3djZWZkODlpMQ==,,,,1775865660,none,"A fan recently went viral after listing her used contact lenses for sale, claiming they had “seen Taylor Swift’s Eras Tour,” with an asking price of $10,000. The bizarre listing quickly sparked reacti",
instagram,Video by coherancewithbrit,https://www.instagram.com/reel/DUqtuAekiPE/?igsh=MWdkeGlxcmdoYmdmMg==,raw/DUqtuAekiPE.jpg,☾Brit/Tala,1770919800,1775865660,none,"Some of your reactions aren’t coming from who you are now…
they’re coming from who you had to be then.
Healing isn’t about fighting that part of you.
It’s about meeting them with compassion and taking",
instagram,Video by lawsofattraction2026,https://www.instagram.com/reel/DUryewlEp4q/?igsh=MWQydDB2cXUwbmQxdQ==,raw/DUryewlEp4q.jpg,Manifestation||Affirmation,1770955884,1775865660,none,"In 1994, Jim Carrey was so broke he was sleeping in his car.

Auditions kept rejecting him.
Bills kept piling up.
Hope was running thin.

Most people would’ve quit.

Instead, Jim did something strange",
